product_name,price,retailer,platform,storeUrl,imageUrl,review
Card màn hình NVIDIA Quadro P2200 5GB GDDR5X,11.299.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-quadro-5gb-p2200-s190800432.html,https://img.vnshop.vn/height/350/media/catalog_v2/media/52/98/1577436090.0815063_Quadro_5GB_P2200_1.jpg,
Card màn hình ASUS TUF Gaming GeForce GTX 1650 4GB GDDR5,5.010.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-tuf-gtx-1650-4gb-gddr5-tufgtx16504ggaming-s191007080.html,https://img.vnshop.vn/height/350/media/catalog_v2/media/38/19/1572509197.825179_Asus_TUF_GTX_1650_4GB_GDDR5_TUF-GTX1650-4G-GAMING_1.jpg,
Card màn hình MSI GeForce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6,6.490.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1660-super-ventus-xs-oc-6gb-gddr6-s191007120.html,https://img.vnshop.vn/height/350/media/catalog_v2/media/49/33/1572512480.5804691_MSI_GTX_1660_Super_Ventus_XS_OC_1.jpg,
Card màn hình ASUS TUF Gaming GeForce GTX 1660 SUPER OC Edition 6GB GDDR6,6.290.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-tuf-gtx-1660-super-oc-6gb-gddr6-tufgtx1660so6ggaming-s191100255.html,https://lh3.googleusercontent.com/Xwi9WNu9Q8Es_76kjRq1U8sFexODLC82ql-9bFj0De7C2xPFdcC96MAGUd-mEbNnCYgCPMqTGsdCZMf8Fg,
Card màn hình ASUS ROG Strix RTX 2060 Super OC EVO 8GB GDDR6,12.990.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-rog-strix-rtx-2060-super-oc-evo-8gb-gaming-rogstrixrtx2060so8gevogaming-s191201406.html,https://phongvu.vn/images/default-image.png,
Card màn hình GIGABYTE GeForce GTX 1650 4GB GDDR5 OC (GV-N1650OC-4GD),4.090.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1650-oc-4g-gddr5-gv-n1650oc-4gd-s19040815.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình ASUS GeForce GTX 1650 4GB GDDR5 DUAL (DUAL-GTX1650-4G),3.990.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-dual-geforce-gtx-1650-4gb-gddr5-dual-gtx1650-4g-s19040612.html,https://phongvu.vn/images/default-image.png,
Card màn hình GIGABYTE GeForce GTX 1660 6GB GDDR5 OC (GV-N1660OC-6GD),6.450.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1660-oc-6g-gddr5-gv-n1660oc-6gd-s19030064.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình ASUS GeForce GTX 1050Ti 4GB GDDR5 Phoenix (PH-GTX1050TI-4G),4.608.000?,Phong Vu,none,https://phongvu.vn/vga-asus-ph-gtx1050ti-4g-s1702827.html,https://phongvu.vn/images/default-image.png,18 nh?n xét
Card màn hình MSI GeForce GT 1030 2GB GDDR5 AERO (GT-1030-AERO-ITX-2G-OC),2.230.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-msi-2gb-gt1030-aero-itx-2g-oc-s1701881.html,https://phongvu.vn/images/default-image.png,22 nh?n xét
Card màn hình MSI GeForce GTX 1050Ti 4GB GDDR5 OCV1 (GTX-1050-Ti-4GT-OCV1),3.090.000?,Phong Vu,none,https://phongvu.vn/vga-msi-gtx-1050-ti-4g-ocv1-gddr5-128-bit-1-fan-s1702316.html,https://phongvu.vn/images/default-image.png,16 nh?n xét
Card màn hình MSI GeForce GTX 1060 3GB GDDR5 ARMOR OCV1,6.190.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-msi-3gb-gtx1060-armor-ocv1-s1704960.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình MSI GeForce GTX 1660Ti 6GB GDDR6 Ventus XS OC,8.290.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1660-ti-ventus-xs-oc-6gb-gddr6-s19060255.html,https://phongvu.vn/images/default-image.png,
Card màn hình MSI GeForce GTX 1660 6GB GDDR5 VENTUS XS OC,5.890.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1660-ventus-xs-oc-6gb-gddr5-s19030163.html,https://phongvu.vn/images/default-image.png,3 nh?n xét
Card màn hình ASUS GeForce GTX 1660 6GB GDDR5 TUF OC (TUF-GTX1660-O6G-GAMING),5.590.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-asus-tuf-gtx-1660-oc-6gb-gddr5-tuf-gtx1660-o6g-gaming-s19030439.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình GIGABYTE GeForce GT 1030 2GB GDDR5 OC (GV-N1030OC-2GI),2.350.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-gigabyte-2gb-n1030oc-2gi-s1701823.html,https://phongvu.vn/images/default-image.png,17 nh?n xét
Card màn hình ASUS GeForce GTX 1660 6GB GDDR5 TUF (TUF-GTX1660-6G-GAMING),6.500.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-tuf-gtx-1660-6gb-gddr5-tuf-gtx1660-6g-gaming-s19040606.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình MSI GeForce GTX 1650 4GB GDDR5 Gaming X,4.890.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1650-gaming-x-4gb-gddr5-s19040799.html,https://phongvu.vn/images/default-image.png,2 nh?n xét
Card màn hình MSI GeForce GTX 1650 SUPER VENTUS XS OC 4GB GDDR6,4.690.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1650-super-ventus-xs-oc-4gb-gddr6-s191200036.html,https://phongvu.vn/images/default-image.png,
Card màn hình MSI GeForce GTX 1650 4GB GDDR5 VENTUS XS OC,3.990.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1650-ventus-xs-oc-4gb-gddr5-s19040798.html,https://phongvu.vn/images/default-image.png,2 nh?n xét
Card ?? h?a GALAX GeForce GTX 1650 4GB GDDR5 EX (65SQH8DS08EX),4.390.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-galax-gtx-1650-ex-1-click-oc-4gb-gddr5-65sqh8ds08ex-s19040992.html,https://img.vnshop.vn/height/350/media/catalog/product/storage/card_do_hoa/19040992/bbf003587e6d12b53c3457081d8b3237_galax gtx 1650 ex (1-click oc) 4gb gddr5 (65sqh8ds08ex)_1.jpg,
Card màn hình GIGABYTE GeForce GTX 1660 SUPER™ OC 6G 6GB GDDR6,6.190.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1660-super-oc-6g-gddr6-gvn166soc6gd-s191200266.html,https://lh3.googleusercontent.com/lh_PfKrWMcg0noU22qQikCFkXk-WtKyXU8aUhN0fIZjBXS8KHsjPC2RlZrVuELbMsdTe9cKKo5QaiVeXrnEu,
Card màn hình GALAX GeForce GTX 1060 6GB GDDR5 OC,5.580.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-galax-6gb-gtx1060-oc-s1805056.html,https://img.vnshop.vn/height/350/media/catalog/product/g/a/galax-6gb-gtx1060-oc-1.jpg,10 nh?n xét
Card màn hình GIGABYTE GeForce GTX 1050Ti 4GB GDDR5 WindForce (GV-N105TWF2OC-4GD),4.950.000?,Phong Vu,none,https://phongvu.vn/vga-gigabyte-gtx1050ti-windforce-oc-4g-gv-n105twf2oc-4gd-s1603348.html,https://img.vnshop.vn/height/350/media/catalog/product/g/i/gigabyte-4gb-n105twf2oc-4gd-1.jpg,15 nh?n xét
Card màn hình GIGABYTE GeForce RTX 2060 6GB GDDR6 OC,8.990.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-rtx-2060-oc-6g-gddr6-gv-n2060oc-6gd-s19010116.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
